layer_id,calls,avg_topk_ms,avg_moe_ms,avg_total_assignments,avg_imbalance_ratio_max_over_mean,max_loaded_expert_id,max_loaded_expert_avg_assignments
1,22,0.10267927125096321,35.180219379338354,4096.0,17.761363636363637,51,276.6818181818182
2,22,0.06116072816604918,1.785949089310386,4096.0,20.775568181818183,239,332.22727272727275
3,22,0.05822836455296387,1.3215650807727466,4096.0,31.724431818181817,45,506.5
4,22,0.05822836455296387,1.2436479980295354,4096.0,24.90340909090909,90,375.8181818181818
5,22,0.05739054625684565,1.188119265166196,4096.0,30.914772727272727,245,492.8636363636364
6,22,0.05808872797272422,1.053277080709284,4096.0,31.27840909090909,205,500.22727272727275
7,22,0.05776291001926769,1.1638225479559465,4096.0,31.44034090909091,97,503.04545454545456
8,22,0.05855418267575177,0.869282914833589,4096.0,31.392045454545453,201,501.90909090909093
9,22,0.05790254643017596,0.9384494559331373,4096.0,31.923295454545453,7,510.77272727272725
10,22,0.05762327360835942,0.8285556381398981,4096.0,31.107954545454547,57,497.45454545454544
11,22,0.058042182671752846,1.0940508950840344,4096.0,31.678977272727273,23,506.8636363636364
12,22,0.058088728142055596,1.2200494679537686,4096.0,29.30965909090909,221,468.95454545454544
13,22,0.058181819251992485,1.3672261942516675,4096.0,30.105113636363637,179,481.6818181818182
14,22,0.05813527378168973,1.3881250836632468,4096.0,30.5625,126,489.0
15,22,0.058228364383632485,1.3536814613775774,4096.0,20.4375,72,326.59090909090907
16,22,0.06534981879998338,1.3496785434809597,4096.0,29.571022727272727,253,473.1363636363636
17,22,0.05766981907866218,1.2244712656194514,4096.0,31.667613636363637,17,506.6818181818182
18,22,0.0578560009598732,1.2795810862021013,4096.0,28.911931818181817,187,462.59090909090907
19,22,0.058181818913329734,1.2449047348716042,4096.0,27.244318181818183,71,416.3181818181818
