Task,Category,Base_Accuracy,Vanilla_Accuracy,Mixture_Accuracy
waiting_line_copy,Certain,99.34,99.98,100.0
waiting_line_reverse,Certain,92.1,100.0,99.98
waiting_line_sort,Certain,33.54,76.76,81.56
waiting_line_insert_index,Certain,35.24,99.94,99.84
waiting_line_remove_index,Certain,42.42,99.96,99.94
waiting_line_replace_index,Certain,45.72,99.96,99.98
waiting_line_shuffle,Uncertain,71.44,40.16,83.58
waiting_line_insert_random,Uncertain,66.4,84.14,95.46
waiting_line_remove_random,Uncertain,91.96,79.18,94.48
waiting_line_replace_random,Uncertain,89.12,80.84,93.36
=== Average (All Tasks) ===,,66.73,86.09,94.82
=== Average (Certain Tasks) ===,Certain,58.06,96.1,96.88
=== Average (Uncertain Tasks) ===,Uncertain,79.73,71.08,91.72
