Task,Category,Base_Accuracy,Vanilla_Accuracy,Mixture_Accuracy
waiting_line_copy,Certain,98.82,99.98,100.0
waiting_line_reverse,Certain,78.06,100.0,99.96
waiting_line_sort,Certain,26.9,76.94,75.44
waiting_line_insert_index,Certain,29.74,99.82,99.7
waiting_line_remove_index,Certain,40.86,99.96,99.94
waiting_line_replace_index,Certain,44.4,99.92,99.98
waiting_line_shuffle,Uncertain,74.28,96.14,95.8
waiting_line_insert_random,Uncertain,57.22,92.82,91.52
waiting_line_remove_random,Uncertain,92.22,99.0,98.92
waiting_line_replace_random,Uncertain,77.38,85.54,89.48
=== Average (All Tasks) ===,,61.99,95.01,95.07
=== Average (Certain Tasks) ===,Certain,53.13,96.1,95.84
=== Average (Uncertain Tasks) ===,Uncertain,75.28,93.38,93.93
