Task,Category,Base_Accuracy,Vanilla_Accuracy,Mixture_Accuracy
waiting_line_copy,Certain,98.12,99.98,100.0
waiting_line_reverse,Certain,68.05,100.0,99.92
waiting_line_sort,Certain,17.12,62.29,59.96
waiting_line_insert_index,Certain,24.01,99.66,99.5
waiting_line_remove_index,Certain,36.18,99.88,99.94
waiting_line_replace_index,Certain,41.07,99.86,99.98
waiting_line_shuffle,Uncertain,40.04,47.64,45.42
waiting_line_insert_random,Uncertain,25.42,40.09,40.0
waiting_line_remove_random,Uncertain,66.82,74.98,69.18
waiting_line_replace_random,Uncertain,51.93,24.68,30.09
=== Average (All Tasks) ===,,46.88,74.91,74.4
=== Average (Certain Tasks) ===,Certain,47.43,93.61,93.22
=== Average (Uncertain Tasks) ===,Uncertain,46.05,46.85,46.17
