Task,Category,Base_Accuracy,Vanilla_Accuracy,Mixture_Accuracy
waiting_line_copy,Certain,99.46,99.98,100.0
waiting_line_reverse,Certain,95.84,100.0,99.98
waiting_line_sort,Certain,34.22,77.27,81.56
waiting_line_insert_index,Certain,35.4,99.94,99.86
waiting_line_remove_index,Certain,42.55,99.96,99.94
waiting_line_replace_index,Certain,45.82,99.96,99.98
waiting_line_shuffle,Uncertain,73.63,43.75,83.58
waiting_line_insert_random,Uncertain,67.21,84.88,95.46
waiting_line_remove_random,Uncertain,92.77,79.2,94.48
waiting_line_replace_random,Uncertain,90.17,80.84,93.36
=== Average (All Tasks) ===,,67.71,86.58,94.82
=== Average (Certain Tasks) ===,Certain,58.88,96.18,96.89
=== Average (Uncertain Tasks) ===,Uncertain,80.94,72.17,91.72
