Task,Category,Base_Accuracy,Vanilla_Accuracy,Mixture_Accuracy
waiting_line_copy,Certain,99.46,99.98,100.0
waiting_line_reverse,Certain,89.08,100.0,99.98
waiting_line_sort,Certain,32.9,83.04,80.86
waiting_line_insert_index,Certain,34.52,99.92,99.78
waiting_line_remove_index,Certain,42.16,99.96,99.94
waiting_line_replace_index,Certain,45.82,99.96,99.98
waiting_line_shuffle,Uncertain,92.16,99.48,99.54
waiting_line_insert_random,Uncertain,72.52,99.34,99.2
waiting_line_remove_random,Uncertain,97.64,99.96,99.98
waiting_line_replace_random,Uncertain,92.6,98.94,99.44
=== Average (All Tasks) ===,,69.89,98.06,97.87
=== Average (Certain Tasks) ===,Certain,57.32,97.14,96.76
=== Average (Uncertain Tasks) ===,Uncertain,88.73,99.43,99.54
