Task,Category,Base_Accuracy,Vanilla_Accuracy,Mixture_Accuracy
waiting_line_copy,Certain,98.55,99.98,100.0
waiting_line_reverse,Certain,79.13,100.0,99.94
waiting_line_sort,Certain,25.7,69.5,72.66
waiting_line_insert_index,Certain,28.0,99.76,99.64
waiting_line_remove_index,Certain,39.85,99.94,99.92
waiting_line_replace_index,Certain,43.69,99.92,99.98
waiting_line_shuffle,Uncertain,61.37,41.64,78.26
waiting_line_insert_random,Uncertain,47.16,67.11,88.2
waiting_line_remove_random,Uncertain,82.51,79.21,92.22
waiting_line_replace_random,Uncertain,77.19,55.1,68.74
=== Average (All Tasks) ===,,58.31,81.22,89.96
=== Average (Certain Tasks) ===,Certain,52.48,94.85,95.36
=== Average (Uncertain Tasks) ===,Uncertain,67.06,60.76,81.85
