Task,Category,Base_Accuracy,Vanilla_Accuracy,Mixture_Accuracy
waiting_line_copy,Certain,99.7,100.0,100.0
waiting_line_reverse,Certain,96.88,100.0,100.0
waiting_line_sort,Certain,35.72,77.22,82.38
waiting_line_insert_index,Certain,37.02,99.96,99.92
waiting_line_remove_index,Certain,42.9,99.98,99.96
waiting_line_replace_index,Certain,45.74,99.96,100.0
waiting_line_shuffle,Uncertain,73.52,40.88,83.96
waiting_line_insert_random,Uncertain,69.04,85.9,96.16
waiting_line_remove_random,Uncertain,91.82,79.44,94.62
waiting_line_replace_random,Uncertain,92.56,83.3,94.2
=== Average (All Tasks) ===,,68.49,86.66,95.12
=== Average (Certain Tasks) ===,Certain,59.66,96.19,97.04
=== Average (Uncertain Tasks) ===,Uncertain,81.74,72.38,92.24
