Task,Threshold,Remask,Base_Accuracy,Vanilla_Accuracy,Mixture_Accuracy,Filtered_Count
waiting_line_copy,0.6,False,98.1244847485573,99.97999599919984,100.0,0
waiting_line_copy,0.6,True,98.24814509480626,99.98,100.0,0
waiting_line_copy,0.7,False,98.59355890746025,99.98,100.0,0
waiting_line_copy,0.7,True,98.55426593361841,99.97999599919984,100.0,0
waiting_line_copy,0.70,False,,99.98,100.0,0
waiting_line_copy,0.70,True,98.59384552679845,99.98,100.0,0
waiting_line_copy,0.8,False,99.07183212267958,99.98,100.0,0
waiting_line_copy,0.8,True,98.77238881062588,99.97999599919984,100.0,0
waiting_line_copy,0.80,False,,99.97999599919984,100.0,0
waiting_line_copy,0.80,True,98.77238881062588,99.97999599919984,100.0,0
waiting_line_copy,0.9,False,99.57873620862587,99.98,100.0,0
waiting_line_copy,0.9,True,99.45902624724503,99.98,100.0,0
waiting_line_copy,0.95,False,99.83980776932319,100.0,100.0,0
waiting_line_copy,0.95,True,99.71994398879775,100.0,100.0,0
waiting_line_insert_index,0.6,False,24.006945951812458,99.65972778222579,99.49889757466426,11
waiting_line_insert_index,0.6,True,25.04800512054619,99.65972778222579,99.49899799599199,10
waiting_line_insert_index,0.7,False,26.547569588699627,99.77982385908727,99.63920625375827,11
waiting_line_insert_index,0.7,True,27.996715927750408,99.75985591354814,99.6393508314967,9
waiting_line_insert_index,0.70,False,,99.77982385908727,99.63920625375827,11
waiting_line_insert_index,0.70,True,,99.79983987189752,99.65938689641355,9
waiting_line_insert_index,0.8,False,30.166802278275018,99.81996399279855,99.73968762515017,6
waiting_line_insert_index,0.8,True,31.3824419778002,99.7999599919984,99.73979183346677,4
waiting_line_insert_index,0.80,False,,99.81996399279855,99.75975975975976,5
waiting_line_insert_index,0.80,True,,99.81992797118848,99.73979183346677,4
waiting_line_insert_index,0.9,False,34.68731148200281,99.92,99.81981981981983,5
waiting_line_insert_index,0.9,True,35.395741261550825,99.93998799759952,99.85994397759103,2
waiting_line_insert_index,0.95,False,37.344813776531836,99.96000000000001,99.91995197118271,3
waiting_line_insert_index,0.95,True,37.086756161089966,99.96000000000001,99.92,0
waiting_line_insert_random,0.6,False,25.4181338028169,40.0933820544052,39.99597423510467,32
waiting_line_insert_random,0.6,True,36.2471107375499,44.22222222222222,71.7204085720008,7
waiting_line_insert_random,0.7,False,40.96153846153846,72.6154466626336,69.83967935871743,10
waiting_line_insert_random,0.7,True,47.15732892288609,67.11057304277644,88.2,0
waiting_line_insert_random,0.70,False,,72.59528130671507,69.83967935871743,10
waiting_line_insert_random,0.70,True,,67.29838709677419,88.2,0
waiting_line_insert_random,0.8,False,58.98969072164948,93.1740614334471,91.5383076615323,1
waiting_line_insert_random,0.8,True,59.98773257002657,80.33184945366249,94.24,0
waiting_line_insert_random,0.80,False,,93.05220883534136,91.59831966393278,1
waiting_line_insert_random,0.80,True,,80.33184945366249,94.44,0
waiting_line_insert_random,0.9,False,73.17860746720484,99.35987197439488,99.1998399679936,1
waiting_line_insert_random,0.9,True,67.20647773279353,84.88395560040364,95.46,0
waiting_line_insert_random,0.95,False,76.91690084303492,99.88,99.92,0
waiting_line_insert_random,0.95,True,69.76556184316895,86.52024984888172,96.16,0
waiting_line_remove_index,0.6,False,36.18298488925688,99.87997599519905,99.94,0
waiting_line_remove_index,0.6,True,37.91469194312796,99.87997599519905,99.94,0
waiting_line_remove_index,0.7,False,38.58507826794064,99.94,99.94,0
waiting_line_remove_index,0.7,True,39.846122696902206,99.94,99.92,0
waiting_line_remove_index,0.70,False,,99.94,99.94,0
waiting_line_remove_index,0.70,True,,99.94,99.94,0
waiting_line_remove_index,0.8,False,41.15501519756839,99.96000000000001,99.94,0
waiting_line_remove_index,0.8,True,41.626311541565784,99.96000000000001,99.94,0
waiting_line_remove_index,0.80,False,,99.96000000000001,99.94,0
waiting_line_remove_index,0.80,True,,99.96000000000001,99.94,0
waiting_line_remove_index,0.9,False,42.4690857490371,99.96000000000001,99.94,0
waiting_line_remove_index,0.9,True,42.55490630666935,99.96000000000001,99.94,0
waiting_line_remove_index,0.95,False,43.34885604373355,99.98,99.96000000000001,0
waiting_line_remove_index,0.95,True,43.04435483870967,99.98,99.96000000000001,0
waiting_line_remove_random,0.6,False,66.8188420834198,74.97998398718974,69.17999999999999,0
waiting_line_remove_random,0.6,True,71.29382817305721,72.3889555822329,76.55999999999999,0
waiting_line_remove_random,0.7,False,80.0936291471606,93.75875175035007,91.24,0
waiting_line_remove_random,0.7,True,82.51112009704812,79.21168467386954,92.22,0
waiting_line_remove_random,0.70,False,,93.65746298519407,91.14,0
waiting_line_remove_random,0.70,True,,79.1516606642657,92.16,0
waiting_line_remove_random,0.8,False,92.75771636070203,99.01980396079216,98.92,0
waiting_line_remove_random,0.8,True,90.73475979006864,78.69573914782957,93.92,0
waiting_line_remove_random,0.80,False,,99.01980396079216,98.94,0
waiting_line_remove_random,0.80,True,,78.7357471494299,93.92,0
waiting_line_remove_random,0.9,False,98.32221548413179,99.96000000000001,99.98,0
waiting_line_remove_random,0.9,True,92.77205733898647,79.19583916783357,94.48,0
waiting_line_remove_random,0.95,False,99.06826007696982,99.98,100.0,0
waiting_line_remove_random,0.95,True,92.6045665791069,79.48769261556934,94.62,0
waiting_line_replace_index,0.6,False,41.07179382286766,99.86,99.98,0
waiting_line_replace_index,0.6,True,41.54757043691303,99.88,99.98,0
waiting_line_replace_index,0.7,False,43.00706357214935,99.92,99.98,0
waiting_line_replace_index,0.7,True,43.689516129032256,99.92,99.98,0
waiting_line_replace_index,0.70,False,,99.92,99.98,0
waiting_line_replace_index,0.70,True,,99.92,99.98,0
waiting_line_replace_index,0.8,False,44.513665594855304,99.92,99.98,0
waiting_line_replace_index,0.8,True,45.051194539249146,99.92,99.98,0
waiting_line_replace_index,0.80,False,,99.92,99.98,0
waiting_line_replace_index,0.80,True,,99.92,99.98,0
waiting_line_replace_index,0.9,False,45.92102625776709,99.96000000000001,99.98,0
waiting_line_replace_index,0.9,True,45.82080577269994,99.96000000000001,99.98,0
waiting_line_replace_index,0.95,False,45.953525641025635,99.98,100.0,0
waiting_line_replace_index,0.95,True,45.831663326653306,99.96000000000001,100.0,0
waiting_line_replace_random,0.6,False,51.93212022081374,24.684936987397478,30.09203681472589,2
waiting_line_replace_random,0.6,True,68.05189539833772,26.36,37.07482993197279,2
waiting_line_replace_random,0.7,False,63.80467955239064,56.44,62.152430486097224,1
waiting_line_replace_random,0.7,True,77.19085205424004,55.1,68.74,0
waiting_line_replace_random,0.70,False,,56.491298259651934,62.552510502100425,1
waiting_line_replace_random,0.70,True,,54.96,68.74,0
waiting_line_replace_random,0.8,False,78.95059207839935,85.54,89.48,0
waiting_line_replace_random,0.8,True,83.56997971602435,72.52,87.74,0
waiting_line_replace_random,0.80,False,,85.54,89.68,0
waiting_line_replace_random,0.80,True,,72.58,87.72,0
waiting_line_replace_random,0.9,False,93.1950875780149,98.94,99.43988797759552,1
waiting_line_replace_random,0.9,True,90.16592472683124,80.84,93.36,0
waiting_line_replace_random,0.95,False,97.65671940717003,99.92,99.83999999999999,0
waiting_line_replace_random,0.95,True,93.28629032258064,83.3,94.19999999999999,0
waiting_line_reverse,0.6,False,68.05491990846681,100.0,99.91995197118271,3
waiting_line_reverse,0.6,True,70.67395264116576,99.98,99.91995197118271,3
waiting_line_reverse,0.7,False,75.17165005537099,100.0,99.93996397838704,3
waiting_line_reverse,0.7,True,79.12524850894633,100.0,99.93997599039616,2
waiting_line_reverse,0.70,False,,100.0,99.97998799279569,3
waiting_line_reverse,0.70,True,,100.0,99.93997599039616,2
waiting_line_reverse,0.8,False,84.58695652173913,100.0,99.97999599919984,1
waiting_line_reverse,0.8,True,88.21628608358466,100.0,99.97999599919984,1
waiting_line_reverse,0.80,False,,100.0,99.97999599919984,1
waiting_line_reverse,0.80,True,,100.0,99.97999599919984,1
waiting_line_reverse,0.9,False,93.42713145737085,100.0,99.98,0
waiting_line_reverse,0.9,True,95.83593587341245,100.0,99.98,0
waiting_line_reverse,0.95,False,97.26027397260275,100.0,100.0,0
waiting_line_reverse,0.95,True,98.41495630969315,100.0,100.0,0
waiting_line_shuffle,0.6,False,40.03872633390706,47.63629048481191,45.42,0
waiting_line_shuffle,0.6,True,53.505304763885995,39.340885684860964,63.800000000000004,0
waiting_line_shuffle,0.7,False,55.32624557014801,81.85096153846155,79.3,0
waiting_line_shuffle,0.7,True,61.366921329754284,41.63529903805939,78.25999999999999,0
waiting_line_shuffle,0.70,False,,81.75080128205127,79.16,0
waiting_line_shuffle,0.70,True,,42.02807458621412,77.66,0
waiting_line_shuffle,0.8,False,75.53386211104332,96.17847138855542,95.8,0
waiting_line_shuffle,0.8,True,69.05544147843943,42.74989274989275,82.58,0
waiting_line_shuffle,0.80,False,,96.33780268160896,95.84,0
waiting_line_shuffle,0.80,True,,42.75005354465624,82.58,0
waiting_line_shuffle,0.9,False,92.38171611868484,99.499899979996,99.53999999999999,0
waiting_line_shuffle,0.9,True,73.63430220573078,43.754087638979726,83.58,0
waiting_line_shuffle,0.95,False,97.1377101681345,99.71994398879775,99.72,0
waiting_line_shuffle,0.95,True,75.37420545417265,44.65573770491803,83.96000000000001,0
waiting_line_sort,0.6,False,17.120799273387828,62.28641171684296,59.95995995995996,5
waiting_line_sort,0.6,True,19.711020056070737,62.07876573284612,63.75999999999999,0
waiting_line_sort,0.7,False,22.3929035049762,69.7153240460327,68.24729891956783,2
waiting_line_sort,0.7,True,25.695170395149486,69.50282942603071,72.66,0
waiting_line_sort,0.70,False,,69.85056542810986,68.24729891956783,2
waiting_line_sort,0.70,True,,69.49666464523953,72.7,0
waiting_line_sort,0.8,False,28.008342022940564,77.30197024527543,75.45509101820365,1
waiting_line_sort,0.8,True,30.573905862923205,75.46333601933924,78.53999999999999,0
waiting_line_sort,0.80,False,,77.40249296340973,75.5751150230046,1
waiting_line_sort,0.80,True,,75.50855991943605,78.52,0
waiting_line_sort,0.9,False,33.78572897388443,83.17307692307693,80.86,0
waiting_line_sort,0.9,True,34.21967682552669,77.26540475231575,81.56,0
waiting_line_sort,0.95,False,36.166767860756934,85.53421368547419,83.14,0
waiting_line_sort,0.95,True,36.21599675192854,77.65486725663717,82.38,0
