layer_id,calls,avg_topk_ms,avg_moe_ms,avg_total_assignments,avg_imbalance_ratio_max_over_mean,max_loaded_expert_id,max_loaded_expert_avg_assignments
1,1,0.09011200070381165,1.005568027496338,512.0,22.0,175,44.0
2,1,0.08396799862384796,1.0536960363388062,512.0,9.0,239,18.0
3,1,0.05939200147986412,0.5908480286598206,512.0,32.0,45,64.0
4,1,0.05734400078654289,0.6318079829216003,512.0,17.5,238,35.0
5,1,0.05734400078654289,0.5222399830818176,512.0,29.5,210,59.0
6,1,0.05632000043988228,0.4976640045642853,512.0,30.0,205,60.0
7,1,0.058368001133203506,0.5457919836044312,512.0,24.5,227,49.0
8,1,0.05734400078654289,0.449535995721817,512.0,29.5,207,59.0
9,1,0.05632000043988228,0.477183997631073,512.0,32.0,7,64.0
10,1,0.05734400078654289,0.47513601183891296,512.0,25.0,143,50.0
11,1,0.05734400078654289,0.5427200198173523,512.0,29.5,23,59.0
12,1,0.05939200147986412,0.6789119839668274,512.0,23.0,221,46.0
13,1,0.058368001133203506,0.7178239822387695,512.0,25.0,179,50.0
14,1,0.05734400078654289,0.7034879922866821,512.0,25.0,126,50.0
15,1,0.05632000043988228,0.6871039867401123,512.0,22.5,184,45.0
16,1,0.058368001133203506,0.7167999744415283,512.0,29.5,253,59.0
17,1,0.058368001133203506,0.605184018611908,512.0,29.5,17,59.0
18,1,0.05734400078654289,0.6195200085639954,512.0,24.5,187,49.0
19,1,0.06451199948787689,0.754688024520874,512.0,13.5,139,27.0
