Task,Category,Base_Remask_False,Base_Remask_True,Vanilla_Remask_False,Vanilla_Remask_True,Mixture_Remask_False,Mixture_Remask_True
waiting_line_copy,Certain,98.59,98.55,99.98,99.98,100.0,100.0
waiting_line_reverse,Certain,75.17,79.13,100.0,100.0,99.94,99.94
waiting_line_sort,Certain,22.39,25.7,69.72,69.5,68.25,72.66
waiting_line_insert_index,Certain,26.55,28.0,99.78,99.76,99.64,99.64
waiting_line_remove_index,Certain,38.59,39.85,99.94,99.94,99.94,99.92
waiting_line_replace_index,Certain,43.01,43.69,99.92,99.92,99.98,99.98
waiting_line_shuffle,Uncertain,55.33,61.37,81.85,41.64,79.3,78.26
waiting_line_insert_random,Uncertain,40.96,47.16,72.62,67.11,69.84,88.2
waiting_line_remove_random,Uncertain,80.09,82.51,93.76,79.21,91.24,92.22
waiting_line_replace_random,Uncertain,63.8,77.19,56.44,55.1,62.15,68.74
=== Average (All Tasks) ===,,54.45,58.31,87.4,81.22,87.03,89.96
=== Average (Certain Tasks) ===,Certain,50.72,52.48,94.89,94.85,94.62,95.36
=== Average (Uncertain Tasks) ===,Uncertain,60.05,67.06,76.17,60.76,75.63,81.85
