Task,Category,Base_Remask_False,Base_Remask_True,Vanilla_Remask_False,Vanilla_Remask_True,Mixture_Remask_False,Mixture_Remask_True
waiting_line_copy,Certain,99.46,99.34,99.98,99.98,100.0,100.0
waiting_line_reverse,Certain,89.08,92.1,100.0,100.0,99.98,99.98
waiting_line_sort,Certain,32.9,33.54,83.04,76.76,80.86,81.56
waiting_line_insert_index,Certain,34.52,35.24,99.92,99.94,99.78,99.84
waiting_line_remove_index,Certain,42.16,42.42,99.96,99.96,99.94,99.94
waiting_line_replace_index,Certain,45.82,45.72,99.96,99.96,99.98,99.98
waiting_line_shuffle,Uncertain,92.16,71.44,99.48,40.16,99.54,83.58
waiting_line_insert_random,Uncertain,72.52,66.4,99.34,84.14,99.2,95.46
waiting_line_remove_random,Uncertain,97.64,91.96,99.96,79.18,99.98,94.48
waiting_line_replace_random,Uncertain,92.6,89.12,98.94,80.84,99.44,93.36
=== Average (All Tasks) ===,,69.89,66.73,98.06,86.09,97.87,94.82
=== Average (Certain Tasks) ===,Certain,57.32,58.06,97.14,96.1,96.76,96.88
=== Average (Uncertain Tasks) ===,Uncertain,88.73,79.73,99.43,71.08,99.54,91.72
