Task,Category,Base_Remask_False,Base_Remask_True,Vanilla_Remask_False,Vanilla_Remask_True,Mixture_Remask_False,Mixture_Remask_True
waiting_line_copy,Certain,96.68,96.6,99.98,99.98,100.0,100.0
waiting_line_reverse,Certain,59.96,62.66,100.0,99.98,99.88,99.88
waiting_line_sort,Certain,15.42,18.58,61.24,61.16,59.9,63.76
waiting_line_insert_index,Certain,22.5,23.88,99.64,99.64,99.36,99.38
waiting_line_remove_index,Certain,35.54,37.2,99.88,99.88,99.94,99.94
waiting_line_replace_index,Certain,40.64,41.1,99.86,99.88,99.98,99.98
waiting_line_shuffle,Uncertain,37.24,51.56,47.38,38.22,45.42,63.8
waiting_line_insert_random,Uncertain,23.26,34.68,39.5,43.8,39.78,71.62
waiting_line_remove_random,Uncertain,65.32,70.32,74.92,72.36,69.18,76.56
waiting_line_replace_random,Uncertain,50.84,67.2,24.68,26.36,30.1,37.08
=== Average (All Tasks) ===,,44.74,50.38,74.71,74.13,74.35,81.2
=== Average (Certain Tasks) ===,Certain,45.12,46.67,93.43,93.42,93.18,93.82
=== Average (Uncertain Tasks) ===,Uncertain,44.16,55.94,46.62,45.18,46.12,62.26
